userID_a,userID_b,pair_type,degree_a,degree_b,n_artists_a,n_artists_b,jaccard,cosine
2,275,friend,13,32,50,50,0.07526881992816925,0.15140563249588013
2,428,friend,13,21,50,50,0.09890110045671463,0.2007700502872467
2,515,friend,13,7,50,50,0.0416666679084301,0.09138038009405136
2,761,friend,13,43,50,50,0.08695652335882187,0.17241312563419342
2,831,friend,13,106,50,50,0.08695652335882187,0.16284191608428955
2,909,friend,13,15,50,50,0.0416666679084301,0.07452752441167831
2,1209,friend,13,13,50,50,0.08695652335882187,0.1706477403640747
2,1210,friend,13,76,50,50,0.07526881992816925,0.16274891793727875
2,1230,friend,13,51,50,50,0.010101010091602802,0.019146492704749107
2,1327,friend,13,3,50,50,0.12359550595283508,0.20552903413772583
2,1585,friend,13,5,50,50,0.09890110045671463,0.191518634557724
2,1625,friend,13,53,50,50,0.020408162847161293,0.033193428069353104
2,1869,friend,13,72,50,50,0.0416666679084301,0.10059765726327896
3,78,friend,7,81,50,50,0.010101010091602802,0.03497551009058952
3,255,friend,7,7,50,50,0.020408162847161293,0.0520593598484993
3,460,friend,7,12,50,50,0.0,0.0
3,837,friend,7,5,50,50,0.010101010091602802,0.018316924571990967
3,1740,friend,7,3,50,50,0.010101010091602802,0.04049932211637497
3,1801,friend,7,42,50,50,0.0,0.0
3,1975,friend,7,20,50,50,0.0,0.0
4,99,friend,10,39,50,50,0.08695652335882187,0.20600242912769318
4,124,friend,10,22,50,50,0.09890110045671463,0.2109212577342987
4,211,friend,10,41,50,50,0.1111111119389534,0.21971285343170166
4,264,friend,10,17,50,50,0.13636364042758942,0.25450703501701355
4,493,friend,10,8,50,33,0.06410256773233414,0.13227246701717377
4,520,friend,10,25,50,50,0.07526881992816925,0.16611289978027344
4,534,friend,10,56,50,50,0.06382978707551956,0.1299106478691101
4,850,friend,10,16,50,50,0.020408162847161293,0.05197863280773163
4,1103,friend,10,9,50,50,0.08695652335882187,0.177412748336792
4,2080,friend,10,20,50,50,0.020408162847161293,0.07250605523586273
5,228,friend,7,2,50,50,0.0416666679084301,0.07922330498695374
5,725,friend,7,8,50,50,0.0,0.0
5,831,friend,7,106,50,50,0.0,0.0
5,1271,friend,7,16,50,50,0.020408162847161293,0.0462801456451416
5,1310,friend,7,33,50,50,0.020408162847161293,0.03712550178170204
5,1481,friend,7,5,50,50,0.07526881992816925,0.13579849898815155
5,1785,friend,7,44,50,50,0.190476194024086,0.33570775389671326
6,149,friend,5,14,50,50,0.0,0.0
6,831,friend,5,106,50,50,0.010101010091602802,0.01786271296441555
6,1271,friend,5,16,50,50,0.0,0.0
6,1697,friend,5,7,50,50,0.030927835032343864,0.06873020529747009
6,1761,friend,5,47,50,50,0.020408162847161293,0.039416294544935226
7,46,friend,18,84,50,50,0.23456789553165436,0.41496649384498596
7,232,friend,18,87,50,50,0.28205129504203796,0.4844181537628174
7,390,friend,18,88,50,50,0.26582279801368713,0.46140944957733154
7,545,friend,18,76,50,50,0.06382978707551956,0.12944282591342926
7,815,friend,18,65,50,50,0.28205129504203796,0.48304012417793274
7,873,friend,18,29,50,50,0.3513513505458832,0.5879983305931091
7,1002,friend,18,35,50,50,0.2195121943950653,0.3738797605037689
7,1135,friend,18,38,50,50,0.20481927692890167,0.40441152453422546
7,1184,friend,18,54,50,50,0.190476194024086,0.37203311920166016
7,1308,friend,18,56,50,50,0.29870128631591797,0.5080649852752686
7,1453,friend,18,64,50,50,0.26582279801368713,0.4299366772174835
7,1466,friend,18,16,50,50,0.31578946113586426,0.5198619961738586
7,1649,friend,18,13,50,50,0.12359550595283508,0.2539220154285431
7,1666,friend,18,33,50,50,0.4285714328289032,0.6310200095176697
7,1734,friend,18,19,50,50,0.13636364042758942,0.28390899300575256
7,2020,friend,18,53,50,50,0.06382978707551956,0.14321060478687286
7,2037,friend,18,76,50,50,0.23456789553165436,0.4182128310203552
7,2061,friend,18,55,50,50,0.14942528307437897,0.30810436606407166
8,339,friend,11,73,50,50,0.12359550595283508,0.26565083861351013
8,370,friend,11,38,50,50,0.030927835032343864,0.055885180830955505
8,419,friend,11,62,50,50,0.06382978707551956,0.1350836455821991
8,749,friend,11,82,50,50,0.13636364042758942,0.2676602900028229
8,831,friend,11,106,50,50,0.0,0.0
8,1017,friend,11,51,50,50,0.1764705926179886,0.3172943890094757
8,1178,friend,11,10,50,50,0.08695652335882187,0.17264920473098755
8,1515,friend,11,50,50,50,0.08695652335882187,0.16105304658412933
8,1568,friend,11,85,50,50,0.06382978707551956,0.15964625775814056
8,1811,friend,11,41,50,50,0.1111111119389534,0.22625033557415009
8,1813,friend,11,47,50,50,0.14942528307437897,0.2984424829483032
9,743,friend,3,38,50,50,0.020408162847161293,0.04913146048784256
9,831,friend,3,106,50,50,0.0,0.0
9,1956,friend,3,35,50,50,0.0416666679084301,0.08166685700416565
10,1196,friend,5,29,50,50,0.020408162847161293,0.03344900906085968
10,1498,friend,5,17,50,50,0.0416666679084301,0.08096136152744293
10,1530,friend,5,21,50,50,0.030927835032343864,0.05969740450382233
10,1562,friend,5,25,50,50,0.010101010091602802,0.014156448654830456
10,1986,friend,5,13,50,50,0.0,0.0
11,12,friend,29,40,50,50,0.05263157933950424,0.09240327030420303
11,25,friend,29,18,50,50,0.20481927692890167,0.3715607225894928
11,129,friend,29,75,50,50,0.1627907007932663,0.31722399592399597
11,136,friend,29,52,50,50,0.20481927692890167,0.3596067428588867
11,145,friend,29,41,50,50,0.1111111119389534,0.20654161274433136
11,230,friend,29,13,50,50,0.190476194024086,0.3390161395072937
11,278,friend,29,28,50,50,0.14942528307437897,0.28318771719932556
11,405,friend,29,90,50,50,0.14942528307437897,0.26257869601249695
11,684,friend,29,38,50,50,0.20481927692890167,0.3637195825576782
11,795,friend,29,61,50,50,0.20481927692890167,0.39113321900367737
11,804,friend,29,25,50,50,0.23456789553165436,0.40870028734207153
11,816,friend,29,40,50,50,0.1627907007932663,0.3457706570625305
11,859,friend,29,63,50,50,0.07526881992816925,0.14384523034095764
11,984,friend,29,29,50,50,0.14942528307437897,0.2916804254055023
11,1017,friend,29,51,50,50,0.190476194024086,0.3306070864200592
11,1132,friend,29,75,50,50,0.20481927692890167,0.37173256278038025
11,1136,friend,29,25,50,50,0.1111111119389534,0.22993507981300354
11,1178,friend,29,10,50,50,0.1111111119389534,0.2136884331703186
11,1179,friend,29,52,50,50,0.1111111119389534,0.23802979290485382
11,1189,friend,29,38,50,50,0.1764705926179886,0.32593390345573425
11,1310,friend,29,33,50,50,0.030927835032343864,0.063387930393219
11,1475,friend,29,8,50,50,0.14942528307437897,0.26530659198760986
11,1577,friend,29,10,50,50,0.190476194024086,0.35328900814056396
11,1684,friend,29,5,50,50,0.14942528307437897,0.35158514976501465
11,1766,friend,29,34,50,50,0.1111111119389534,0.24521459639072418
11,1780,friend,29,53,50,50,0.1627907007932663,0.31264016032218933
11,1828,friend,29,11,50,50,0.1627907007932663,0.30541256070137024
11,2004,friend,29,28,50,50,0.05263157933950424,0.12721265852451324
11,2021,friend,29,31,50,50,0.1627907007932663,0.30184173583984375
12,46,friend,40,84,50,50,0.06382978707551956,0.14298871159553528
12,127,friend,40,25,50,50,0.030927835032343864,0.06197331100702286
12,133,friend,40,51,50,50,0.06382978707551956,0.1355692744255066
12,146,friend,40,50,50,50,0.06382978707551956,0.1445925235748291
12,236,friend,40,81,50,50,0.07526881992816925,0.14094939827919006
12,240,friend,40,23,50,50,0.09890110045671463,0.2071451097726822
12,258,friend,40,46,50,50,0.0416666679084301,0.10435794293880463
12,400,friend,40,50,50,50,0.05263157933950424,0.1316673904657364
12,545,friend,40,76,50,50,0.14942528307437897,0.2853168249130249
12,593,friend,40,57,50,50,0.07526881992816925,0.1553073227405548
12,684,friend,40,38,50,50,0.06382978707551956,0.13966241478919983
12,730,friend,40,79,50,50,0.09890110045671463,0.1741451919078827
12,797,friend,40,20,50,11,0.07017543911933899,0.18863174319267273
12,861,friend,40,9,50,50,0.0416666679084301,0.09807098656892776
12,930,friend,40,61,50,50,0.06382978707551956,0.13721108436584473
12,941,friend,40,72,50,50,0.030927835032343864,0.07024670392274857
12,998,friend,40,13,50,50,0.05263157933950424,0.12906460464000702
12,1023,friend,40,91,50,50,0.05263157933950424,0.1266067624092102
12,1056,friend,40,34,50,50,0.06382978707551956,0.12373028695583344
12,1088,friend,40,16,50,50,0.07526881992816925,0.14469116926193237
12,1145,friend,40,72,50,50,0.06382978707551956,0.13846829533576965
12,1146,friend,40,41,50,50,0.05263157933950424,0.12536029517650604
12,1253,friend,40,75,50,50,0.05263157933950424,0.12099158763885498
12,1272,friend,40,29,50,50,0.09890110045671463,0.21617937088012695
12,1308,friend,40,56,50,50,0.05263157933950424,0.0987081453204155
12,1346,friend,40,25,50,50,0.06382978707551956,0.14822222292423248
12,1348,friend,40,7,50,50,0.06382978707551956,0.14188478887081146
12,1368,friend,40,6,50,50,0.08695652335882187,0.1977512091398239
12,1455,friend,40,27,50,50,0.12359550595283508,0.23846939206123352
12,1568,friend,40,85,50,50,0.08695652335882187,0.1842089593410492
12,1628,friend,40,38,50,50,0.05263157933950424,0.11593411862850189
12,1636,friend,40,24,50,50,0.08695652335882187,0.16836543381214142
12,1709,friend,40,39,50,50,0.010101010091602802,0.018258703872561455
12,1726,friend,40,21,50,50,0.030927835032343864,0.0668392926454544
12,1776,friend,40,3,50,50,0.09890110045671463,0.213047057390213
12,1820,friend,40,32,50,50,0.05263157933950424,0.12227588146924973
12,1895,friend,40,90,50,50,0.030927835032343864,0.05819066986441612
12,2004,friend,40,28,50,50,0.05263157933950424,0.0987740159034729
12,2020,friend,40,53,50,50,0.05263157933950424,0.11780108511447906
13,390,friend,11,88,50,50,0.1627907007932663,0.3634035587310791
13,405,friend,11,90,50,50,0.1627907007932663,0.3201653063297272
13,481,friend,11,65,50,50,0.13636364042758942,0.3111824095249176
13,732,friend,11,45,50,50,0.12359550595283508,0.291734516620636
13,816,friend,11,40,50,50,0.28205129504203796,0.5458239912986755
13,1135,friend,11,38,50,50,0.25,0.5135384202003479
13,1184,friend,11,54,50,50,0.1627907007932663,0.37947729229927063
13,1659,friend,11,63,50,50,0.13636364042758942,0.32001960277557373
13,1766,friend,11,34,50,50,0.190476194024086,0.4087916612625122
13,1780,friend,11,53,50,50,0.29870128631591797,0.4667190611362457
13,2041,friend,11,8,50,50,0.06382978707551956,0.1847998946905136
14,608,friend,8,5,50,50,0.0,0.0
14,642,friend,8,27,50,50,0.09890110045671463,0.1832433044910431
14,754,friend,8,17,50,50,0.030927835032343864,0.06635545194149017
14,1258,friend,8,86,50,50,0.0,0.0
14,1357,friend,8,12,50,50,0.08695652335882187,0.1524040400981903
14,1554,friend,8,26,50,50,0.030927835032343864,0.06073784828186035
14,1702,friend,8,22,50,50,0.020408162847161293,0.044271551072597504
14,1761,friend,8,47,50,50,0.010101010091602802,0.01748778112232685
15,122,friend,21,19,50,50,0.05263157933950424,0.09752767533063889
15,143,friend,21,66,50,50,0.0416666679084301,0.09122184664011002
15,237,friend,21,3,50,50,0.12359550595283508,0.23733606934547424
15,266,friend,21,21,50,50,0.0416666679084301,0.08651643991470337
15,416,friend,21,5,50,50,0.010101010091602802,0.020479189231991768
15,454,friend,21,23,50,50,0.010101010091602802,0.021362531930208206
15,771,friend,21,2,50,50,0.020408162847161293,0.035585857927799225
15,1243,friend,21,5,50,50,0.030927835032343864,0.07156150043010712
15,1258,friend,21,86,50,50,0.05263157933950424,0.0968625396490097
15,1281,friend,21,110,50,50,0.010101010091602802,0.01831432245671749
15,1383,friend,21,4,50,50,0.0416666679084301,0.09977129846811295
15,1498,friend,21,17,50,50,0.06382978707551956,0.13647374510765076
15,1556,friend,21,19,50,50,0.020408162847161293,0.04600604251027107
15,1625,friend,21,53,50,50,0.0,0.0
15,1662,friend,21,57,50,50,0.030927835032343864,0.06388650834560394
15,1785,friend,21,44,50,50,0.06382978707551956,0.12537416815757751
15,1805,friend,21,17,50,50,0.06382978707551956,0.14811177551746368
15,1879,friend,21,47,50,50,0.05263157933950424,0.10850474238395691
15,1993,friend,21,21,50,50,0.010101010091602802,0.015277910977602005
15,2025,friend,21,16,50,50,0.030927835032343864,0.06198851019144058
15,2036,friend,21,33,50,50,0.05263157933950424,0.10232912749052048
16,143,friend,24,66,50,50,0.020408162847161293,0.046462930738925934
16,252,friend,24,9,50,50,0.05263157933950424,0.1029902994632721
16,339,friend,24,73,50,50,0.030927835032343864,0.06816067546606064
16,437,friend,24,44,50,50,0.0416666679084301,0.07573747634887695
16,545,friend,24,76,50,50,0.010101010091602802,0.023153526708483696
16,701,friend,24,33,50,11,0.033898305147886276,0.11341075599193573
16,726,friend,24,32,50,50,0.0,0.0
16,732,friend,24,45,50,50,0.0416666679084301,0.0881212055683136
16,743,friend,24,38,50,50,0.020408162847161293,0.04710398241877556
